2017-05-10 13:45:44,995 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 13:45:45,101 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1807e3f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@480d3575, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f1da57d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194fad1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@26abb146, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72c8e7b]
2017-05-10 13:45:45,534 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 13:45:45,965 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 13:45:46,273 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 13:45:46,301 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 13:45:46 CST 2017]; root of context hierarchy
2017-05-10 13:45:46,849 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 13:45:46,850 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 13:45:48,718 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 13:45:48,721 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 13:45:48,865 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 13:45:48,865 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
2017-05-10 13:45:48,866 [main] INFO  io.searchbox.client.JestClientFactory - Idle connection reaping disabled...
2017-05-10 13:45:51,298 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-05-10 13:46:14,497 [Thread-3] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24105dc5: startup date [Wed May 10 13:45:46 CST 2017]; root of context hierarchy
2017-05-10 13:46:14,534 [Thread-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-05-10 13:46:37,718 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-10 13:46:37,857 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5ef60048, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1d548a08, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@16aa0a0a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@780cb77, org.springframework.test.context.transaction.TransactionalTestExecutionListener@691a7f8f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@50a7bc6e]
2017-05-10 13:46:38,138 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [entry/dev/spring-entry.xml]
2017-05-10 13:46:38,319 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring.xml]
2017-05-10 13:46:38,696 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-redis.xml]
2017-05-10 13:46:38,716 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@5db250b4: startup date [Wed May 10 13:46:38 CST 2017]; root of context hierarchy
2017-05-10 13:46:39,007 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/spring.properties]
2017-05-10 13:46:39,008 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer - Loading properties file from class path resource [entry/dev/oss.properties]
2017-05-10 13:46:39,758 [main] INFO  io.searchbox.client.AbstractJestClient - Setting server pool to a list of 1 servers: [http://192.168.5.142:9200]
2017-05-10 13:46:39,760 [main] INFO  io.searchbox.client.JestClientFactory - Using multi thread/connection supporting pooling connection manager
2017-05-10 13:46:39,840 [main] INFO  io.searchbox.client.JestClientFactory - Using default GSON instance
2017-05-10 13:46:39,840 [main] INFO  io.searchbox.client.JestClientFactory - Node Discovery disabled...
